S1|S: 24.3`C,3.1V|311|264.316673|25.0000000| 0.0000000
S2|S: 22.5`C,3.1V|312|264.326623|225.0000000| 0.0000000
M2|done|0.00|309|1|     264.284242
M3|done|0.00|310|1|     264.290538
S1|D: 0.539m,0089|313|264.906630|25.0000000| 0.0000000
S2|D: 0.532m,0066|314|264.916276|225.0000000| 0.0000000
M1|done|30.00|315|0|     265.362268
S1|D: 0.538m,0085|316|265.962617|30.0000000| 0.0000000
S2|D: 0.532m,0078|317|265.966451|230.0000000| 0.0000000
M2|done|0.00|318|1|     265.967059
M3|done|0.00|319|1|     265.974514
S1|D: 0.538m,0080|320|266.574628|30.0000000| 0.0000000
S2|D: 0.532m,0064|321|266.576702|230.0000000| 0.0000000
M2|done|15.00|322|0|     266.862867
M3|done|15.00|323|0|     266.865620
S2|D: 0.555m,0071|325|267.466688|230.0000000|15.0000000
S1|D: 0.575m,0117|324|267.843654|30.0000000|15.0000000
M2|done|30.00|326|0|     268.130109
M3|done|30.00|327|0|     268.136641
S1|D: 0.471m,0103|328|269.114718|30.0000000|30.0000000
S2|D: 0.601m,0128|329|269.117546|230.0000000|30.0000000
M2|done|45.00|330|0|     269.403880
M3|done|45.00|331|0|     269.410606
S2|D: 0.438m,0086|333|270.018551|230.0000000|45.0000000
S1|D: 0.360m,0091|332|270.388669|30.0000000|45.0000000
M2|done|60.00|334|0|     270.675117
M3|done|60.00|335|0|     270.684612
S1|D: 0.307m,0088|336|271.283629|30.0000000|60.0000000
S2|D: 0.359m,0048|337|271.289791|230.0000000|60.0000000
M2|done|75.00|338|0|     271.576023
M3|done|75.00|339|0|     271.582595
S1|D: 0.281m,0084|340|272.182650|30.0000000|75.0000000
S2|D: 0.318m,0051|341|272.189676|230.0000000|75.0000000
M2|done|90.00|342|0|     272.476788
M3|done|90.00|343|0|     272.484471
S1|D: 0.266m,0069|344|273.083648|30.0000000|90.0000000
S2|D: 0.303m,0044|345|273.090775|230.0000000|90.0000000
M2|done|105.00|346|0|     273.378430
M3|done|105.00|347|0|     273.384564
